150426,翁牛特旗,Ongniud qi,Wengniute qi,3,42.9316205,119.0302455
150428,喀喇沁旗,Harqin qi,Kalaqin qi,3,41.9273620,118.7019324
150429,寧城,Ningcheng,Ningcheng,3,,
150430,敖漢旗,Aohan qi,Aohan qi,3,,
150500,通辽市,Tongliao,,2,46.0871771,122.1346986
150501,市辖区,City area,,3,,
150502,科尔沁区,,,3,43.6421646,122.3937514
150521,科尔沁左翼中旗,,,3,44.1138488,122.4375820
150522,科尔沁左翼后旗,,,3,43.3068880,122.6716983
150523,开鲁县,,,3,43.7630282,121.3443482
150524,库伦旗,,,3,42.8928345,121.5733337
150525,奈曼旗,,,3,43.0158548,120.8123208
150526,扎鲁特旗,,,3,44.6397349,120.8580959
150581,霍林郭勒市,,,3,45.4972253,119.6080876
150600,鄂尔多斯市,Erdos,,2,39.8137117,109.9744213
150601,市辖区,City area,,3,,
150602,东胜区,,,3,39.8222984,109.9631453
150621,达拉特旗,,,3,40.2869152,110.1402594
150622,准格尔旗,,,3,39.8641784,111.2400377
150623,鄂托克前旗,,,3,38.4318536,107.8583868
150624,鄂托克旗,,,3,39.0877358,107.9785573
150625,杭锦旗,,,3,39.8333063,108.7362063
150626,乌审旗,,,3,38.5908790,108.8460374
150627,伊金霍洛旗,,,3,39.5649495,109.7475493
150700,呼伦贝尔市,,,2,49.2119414,119.7657716
150701,市辖区,City area,,3,,
150702,海拉尔区,,,3,49.2115288,119.7305603
150703,扎赉诺尔区,,,3,,
150721,阿荣旗,,,3,48.1258251,123.4596133
150722,莫力达瓦达斡尔族自治旗,,,3,48.4744150,124.5048916
150723,鄂伦春自治旗,,,3,50.5918603,123.7261927
150724,鄂温克族自治旗,,,3,49.1447098,119.7531545
150725,陈巴尔虎旗,,,3,49.3264646,119.4247448
150726,新巴尔虎左旗,,,3,48.2180749,118.2702041
150727,新巴尔虎右旗,,,3,48.6721179,116.8236673
150781,满洲里市,,,3,49.5876654,117.4803364
150782,牙克石市,,,3,49.2858984,120.7117438
150783,扎兰屯市,,,3,48.0137335,122.7374661
150784,额尔古纳市,,,3,50.2424432,120.1799154
150785,根河市,,,3,50.7803397,121.5200973
150800,巴彦淖尔市,,,2,40.7659084,107.3868191
150801,市辖区,City area,,3,,
150802,临河区,,,3,40.7623405,107.3945694
150821,五原县,,,3,41.0953622,108.2698667
150822,磴口县,,,3,40.3295340,106.9978559
150823,乌拉特前旗,,,3,40.7282913,108.6554396
150824,乌拉特中旗,,,3,41.5682852,108.5263610
150825,乌拉特后旗,,,3,41.0911334,107.0763481
150826,杭锦后旗,,,3,40.8876518,107.1467185
150900,乌兰察布市,,,2,41.0317072,113.1210923
150901,市辖区,City area,,3,,
150902,集宁区,,,3,41.0353086,113.1145263
150921,卓资县,,,3,40.8885684,112.5782132
150922,化德县,,,3,41.9045608,114.0104377
150923,商都县,,,3,41.5619918,113.5777545
